method,clusters,router,top_k,probes,repetitions,reasons,source_setting_ids,setting_id,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,10,482,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00454', 'target': 0.9946}]",['main-s00454'],qwen-quora-d256-followup-s00017,3000,3,True,True,0.9946,2.591041500636493,2.8298148998146644,7803.429116924235,2.589875000921893,2.5889794997056015,2.5931249983841553,20917240,122093568,62645.112,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,100,512,1,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00474'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00478'}]","['main-s00474', 'main-s00478']",qwen-quora-d256-followup-s00033,3000,3,True,True,0.98529,2.7841249993798556,3.0270419993030373,8373.54118001167,2.784228998280014,2.777187000901904,2.789000001939712,20917240,122093568,66498.407,0.0,0.0,0.0,0.0,0.0,0.0,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,1,3,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00212', 'target': 0.9}]",['main-s00212'],qwen-quora-d256-followup-s00037,3000,3,True,True,0.906,0.09381249947182368,0.12321219946898052,286.39355312407133,0.09295800009567756,0.09245849832950626,0.09589649926056154,23008964,105562112,1679.939,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,10,4,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00217', 'target': 0.8}]",['main-s00217'],qwen-quora-d256-followup-s00041,3000,3,True,True,0.8045,0.12029200297547504,0.15492115107917923,366.2402518748422,0.11835450095531996,0.11787500079663005,0.12433300071279518,23008964,105562112,2220.636,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,1,2,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00211', 'target': 0.8}]",['main-s00211'],qwen-quora-d256-followup-s00036,3000,3,True,True,0.855,0.07075000030454248,0.0953350983763812,217.21592613175744,0.0703330006217584,0.06977100019867066,0.07222900057968218,23008964,105562112,1132.15,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,100,65,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00404', 'target': 0.9}]",['main-s00404'],qwen-quora-d256-followup-s00047,3000,3,True,True,0.90083,0.49872949966811575,0.5727520992877544,1501.735057838232,0.4986455005564494,0.4936459990858566,0.5060834973846795,23008964,111689728,8688.526,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,100,160,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00405', 'target': 0.95}]",['main-s00405'],qwen-quora-d256-followup-s00048,3000,3,True,True,0.95015,1.072021001164103,1.216478850255953,3228.2164850548725,1.0678335002012318,1.0655830010364298,1.0810834992298624,23008964,111689728,21100.935,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,100,668,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00406', 'target': 0.99}]",['main-s00406'],qwen-quora-d256-followup-s00049,3000,3,True,True,0.99003,4.038520999529283,4.437275001328089,12138.153488940588,4.024021500299568,4.006749999462045,4.092396000487497,23008964,111689728,86503.784,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,10,54,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00399', 'target': 0.95}]",['main-s00399'],qwen-quora-d256-followup-s00043,3000,3,True,True,0.9506,0.4000625012849923,0.45817644950147945,1202.3307818708417,0.400041499233339,0.39922900032252073,0.40064600216283,23008964,111706112,7249.372,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,1,5,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00393', 'target': 0.95}]",['main-s00393'],qwen-quora-d256-followup-s00038,3000,3,True,True,0.95,0.10929200107057113,0.12271104969840961,329.80334810417844,0.10912499783444218,0.10879150067921728,0.11010449816239998,23008964,111706112,723.5,0.0,0.0,0.0,1.0,0.0,0.0,0,0
