method,clusters,router,top_k,probes,repetitions,reasons,source_setting_ids,setting_id,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,1405,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00298', 'target': 0.99522}]",['main-s00298'],qwen-quora-d1024-followup-s00008,1000,1,True,True,0.99522,36.4670835006109,38.10717115229636,36428.71452599502,36.4670835006109,36.4670835006109,36.4670835006109,71118616,293666816,181806.651,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,1,512,1,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00430'}]",['main-s00430'],qwen-quora-d1024-followup-s00016,1000,1,True,True,0.999,13.66379199862422,14.67868989930139,13685.079057988332,13.66379199862422,13.66379199862422,13.66379199862422,71118616,293666816,66911.499,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,1,711,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00249', 'target': 1.0}]",['main-s00249'],qwen-quora-d1024-followup-s00002,1000,1,True,True,1.0,18.791041999065783,20.00729759929527,18807.467778977298,18.791041999065783,18.791041999065783,18.791041999065783,71118616,293666816,92570.219,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,100,235,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00474', 'target': 0.98116}]",['main-s00474'],qwen-quora-d1024-followup-s00010,1000,1,True,True,0.9812,24.123771001541172,25.692675350910577,24164.16203803965,24.123771001541172,24.123771001541172,24.123771001541172,71118616,261193728,122916.999,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,100,3,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00545', 'target': 0.64684}]",['main-s00545'],qwen-quora-d1024-followup-s00013,1000,1,True,True,0.66068,0.4391250004118774,0.5933139524131548,448.7612960365368,0.4391250004118774,0.4391250004118774,0.4391250004118774,71118616,261193728,1703.657,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,100,512,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00298', 'target': 0.99522}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00298'}]",['main-s00298'],qwen-quora-d1024-followup-s00007,1000,1,True,True,0.99522,52.21441700086871,53.86451939793915,52190.5283919732,52.21441700086871,52.21441700086871,52.21441700086871,71118616,261193728,265754.73,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,100,2,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00545', 'target': 0.64684}]",['main-s00545'],qwen-quora-d1024-followup-s00012,1000,1,True,True,0.70271,3.653917001429363,5.601648251285951,3691.492423055024,3.653917001429363,3.653917001429363,3.653917001429363,71118616,227049472,18732.304,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,100,47,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00298', 'target': 0.99522}]",['main-s00298'],qwen-quora-d1024-followup-s00006,1000,1,True,True,0.9955,77.4949580008979,81.58085690010921,77479.21402788779,77.4949580008979,77.4949580008979,77.4949580008979,71118616,227049472,395037.708,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,100,30,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00474', 'target': 0.98116}]",['main-s00474'],qwen-quora-d1024-followup-s00009,1000,1,True,True,0.98176,50.34837499988498,55.65995385040878,50259.10864595062,50.34837499988498,50.34837499988498,50.34837499988498,71118616,227049472,256762.615,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,4,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00545', 'target': 0.64684}]",['main-s00545'],qwen-quora-d1024-followup-s00014,1000,1,True,True,0.6524,0.4545209976640763,0.5201312487770338,458.9263349917019,0.4545209976640763,0.4545209976640763,0.4545209976640763,71118616,293699584,604.725,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,1,157,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00430', 'target': 0.999}]",['main-s00430'],qwen-quora-d1024-followup-s00005,1000,1,True,True,0.999,4.468291499506449,4.991088148926792,4467.660729038471,4.468291499506449,4.468291499506449,4.468291499506449,71118616,293699584,20879.36,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,512,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00474', 'target': 0.98116}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00474'}, {'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00478'}]","['main-s00474', 'main-s00478']",qwen-quora-d1024-followup-s00011,1000,1,True,True,0.98116,13.60975050010893,14.678274349716958,13624.678838084947,13.60975050010893,13.60975050010893,13.60975050010893,71118616,293699584,66911.499,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,1,221,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00249', 'target': 1.0}]",['main-s00249'],qwen-quora-d1024-followup-s00001,1000,1,True,True,1.0,22.829416499007493,24.365973199928703,22882.086695961334,22.829416499007493,22.829416499007493,22.829416499007493,71118616,261144576,115633.244,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,1,512,1,"[{'kind': 'zero_split_budget_512', 'source_setting_id': 'main-s00250'}]",['main-s00250'],qwen-quora-d1024-followup-s00015,1000,1,True,True,1.0,52.37766649770492,54.05298604964628,52398.552743958135,52.37766649770492,52.37766649770492,52.37766649770492,71118616,261144576,265754.73,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,1,218,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00430', 'target': 0.999}]",['main-s00430'],qwen-quora-d1024-followup-s00004,1000,1,True,True,0.999,22.74210450013925,24.228831248728966,22739.650686944515,22.74210450013925,22.74210450013925,22.74210450013925,71118616,261144576,114075.338,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,1,28,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00249', 'target': 1.0}]",['main-s00249'],qwen-quora-d1024-followup-s00000,1000,1,True,True,1.0,47.24093749791791,52.525722900099936,47197.00839199868,47.24093749791791,47.24093749791791,47.24093749791791,71118616,226934784,240140.721,0.0,0.0,0.0,0.0,0.0,0.0,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-64-seed42,1,23,1,"[{'kind': 'match_alternative_recall', 'source_setting_id': 'main-s00430', 'target': 0.999}]",['main-s00430'],qwen-quora-d1024-followup-s00003,1000,1,True,True,0.999,39.1191250000702,43.817454197960615,38944.854911944276,39.1191250000702,39.1191250000702,39.1191250000702,71118616,226934784,198333.47,0.0,0.0,0.0,0.0,0.0,0.0,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,1,6,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00393', 'target': 0.95}]",['main-s00393'],qwen-quora-d1024-followup-s00020,1000,1,True,True,0.956,0.48768749911687337,0.5634041506709764,491.18509298205026,0.48768749911687337,0.48768749911687337,0.48768749911687337,73210340,246939648,890.047,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,1,3,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00392', 'target': 0.9}]",['main-s00392'],qwen-quora-d1024-followup-s00019,1000,1,True,True,0.92,0.40212499879999086,0.4548648998024873,404.98818804189796,0.40212499879999086,0.40212499879999086,0.40212499879999086,73210340,246939648,461.878,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,100,874,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00406', 'target': 0.99}]",['main-s00406'],qwen-quora-d1024-followup-s00026,1000,1,True,True,0.99,23.068374501235667,24.342208301459323,23058.30076703569,23.068374501235667,23.068374501235667,23.068374501235667,73210340,246939648,113571.472,0.0,0.0,0.0,1.0,0.0,0.0,0,0
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,100,2,1,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00222', 'target': 0.5}]",['main-s00222'],qwen-quora-d1024-followup-s00022,1000,1,True,True,0.59931,0.32922900209086947,0.4596059530740604,338.18684695870616,0.32922900209086947,0.32922900209086947,0.32922900209086947,73210340,220676096,1149.348,0.0,0.0,0.0,1.0,0.0,0.0,0,0
